epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
105,47853.6,0.50432,0.42639,0.09761,0.84862,0.76768,0.81246,0.59186,0.56944,0.47377,0.10874,0.003136,0.003136,0.003136
106,48312.7,0.53883,0.44458,0.11112,0.85083,0.76668,0.8128,0.59213,0.56993,0.47381,0.10854,0.00307,0.00307,0.00307
107,48765,0.53748,0.43458,0.10597,0.85349,0.76523,0.8129,0.59218,0.57019,0.47362,0.10846,0.003004,0.003004,0.003004
108,49219.1,0.48386,0.42762,0.09889,0.85617,0.76426,0.81338,0.59234,0.57028,0.47327,0.10853,0.002938,0.002938,0.002938
109,49676.8,0.50419,0.43432,0.09639,0.85579,0.76371,0.81338,0.59248,0.56997,0.47332,0.10838,0.002872,0.002872,0.002872
110,50134.2,0.50744,0.4291,0.0998,0.85466,0.76428,0.81339,0.59255,0.57019,0.47293,0.10848,0.002806,0.002806,0.002806
111,50585.6,0.44625,0.41342,0.08553,0.85311,0.76558,0.81307,0.59251,0.57022,0.47292,0.10857,0.00274,0.00274,0.00274
112,51045,0.40872,0.39377,0.08054,0.85599,0.76464,0.81337,0.59273,0.56894,0.47298,0.1087,0.002674,0.002674,0.002674
113,51499.1,0.45282,0.39729,0.08294,0.85628,0.76431,0.81339,0.59304,0.56763,0.47339,0.10861,0.002608,0.002608,0.002608
114,51957.4,0.48131,0.40913,0.08998,0.85479,0.76485,0.81328,0.59307,0.56748,0.47375,0.10852,0.002542,0.002542,0.002542
115,52417.5,0.47555,0.41876,0.0899,0.85424,0.76558,0.81342,0.59287,0.56832,0.47386,0.10875,0.002476,0.002476,0.002476
116,52876,0.50819,0.43537,0.10079,0.85216,0.76748,0.81361,0.59275,0.56935,0.4739,0.10933,0.00241,0.00241,0.00241
117,53334.4,0.51203,0.40325,0.08879,0.85154,0.7686,0.81356,0.59279,0.56917,0.4738,0.10935,0.002344,0.002344,0.002344
118,53794,0.56374,0.41016,0.09645,0.85063,0.76987,0.81366,0.59283,0.56945,0.47358,0.10936,0.002278,0.002278,0.002278
119,54248.2,0.47819,0.40279,0.08712,0.85108,0.76961,0.81346,0.5927,0.5701,0.47316,0.10965,0.002212,0.002212,0.002212
120,54703.5,0.67401,0.41152,0.11594,0.85155,0.77039,0.81401,0.59269,0.56984,0.47327,0.10961,0.002146,0.002146,0.002146
121,55159.5,0.66212,0.42474,0.11517,0.85388,0.76756,0.81368,0.59223,0.57129,0.47318,0.10979,0.00208,0.00208,0.00208
122,55615.2,0.75622,0.43601,0.12893,0.85349,0.7681,0.81412,0.5921,0.57141,0.47294,0.10978,0.002014,0.002014,0.002014
123,56065.9,0.67869,0.4371,0.11226,0.85237,0.76917,0.81422,0.59188,0.57212,0.473,0.10977,0.001948,0.001948,0.001948
124,56520,0.70941,0.39989,0.1245,0.85423,0.76793,0.8137,0.59092,0.57507,0.47312,0.10975,0.001882,0.001882,0.001882
125,56974.8,0.66787,0.41733,0.10668,0.85366,0.76899,0.81389,0.59049,0.57633,0.4733,0.1098,0.001816,0.001816,0.001816
126,57425.4,0.83912,0.41014,0.1466,0.8533,0.76919,0.81357,0.58889,0.5828,0.47308,0.11029,0.00175,0.00175,0.00175
127,57880.8,0.49066,0.41307,0.08827,0.85213,0.77027,0.81369,0.5891,0.58252,0.47314,0.11039,0.001684,0.001684,0.001684
128,58334.5,0.34988,0.37537,0.07122,0.85254,0.77032,0.8139,0.5891,0.58165,0.47324,0.11032,0.001618,0.001618,0.001618
129,58793,0.33272,0.36555,0.06786,0.855,0.7679,0.81367,0.58925,0.58115,0.47333,0.11039,0.001552,0.001552,0.001552
130,59241.6,0.33756,0.36445,0.06796,0.85556,0.76819,0.81371,0.58937,0.58172,0.47318,0.11062,0.001486,0.001486,0.001486
131,59697.6,0.3768,0.37474,0.07222,0.85595,0.7676,0.81363,0.58907,0.58227,0.47334,0.11087,0.00142,0.00142,0.00142
132,60153.6,0.37886,0.3748,0.07176,0.85577,0.76806,0.81361,0.58873,0.58261,0.47376,0.11091,0.001354,0.001354,0.001354
133,60609.1,0.56257,0.39885,0.09101,0.85538,0.76809,0.81339,0.58831,0.58311,0.47409,0.1111,0.001288,0.001288,0.001288
134,61066.5,0.77124,0.42559,0.12612,0.85524,0.76906,0.81323,0.58812,0.58429,0.47419,0.11138,0.001222,0.001222,0.001222
135,61522.9,0.76278,0.41841,0.11971,0.85464,0.76911,0.81314,0.58724,0.58574,0.47449,0.11142,0.001156,0.001156,0.001156
136,61982.3,0.67667,0.41683,0.10993,0.8546,0.76913,0.81299,0.58668,0.58755,0.47471,0.11176,0.00109,0.00109,0.00109
137,62436.1,0.72317,0.41672,0.11726,0.85503,0.76942,0.81287,0.58653,0.59046,0.47446,0.11191,0.001024,0.001024,0.001024
138,62894.2,0.37101,0.37657,0.06966,0.85449,0.76968,0.8134,0.58632,0.59004,0.47504,0.11178,0.000958,0.000958,0.000958
139,63346.4,0.33296,0.36257,0.06659,0.85492,0.76969,0.81353,0.58622,0.58964,0.47547,0.11179,0.000892,0.000892,0.000892
140,63797,0.32348,0.3572,0.06515,0.85447,0.76964,0.81343,0.58597,0.5898,0.47566,0.11214,0.000826,0.000826,0.000826
141,64247.6,0.27032,0.31649,0.05196,0.85383,0.76986,0.81334,0.58574,0.59,0.47557,0.1123,0.00076,0.00076,0.00076
142,64701.2,0.27015,0.31422,0.05043,0.85415,0.77045,0.81347,0.58542,0.58978,0.47574,0.11234,0.000694,0.000694,0.000694
143,65151.1,0.26214,0.30902,0.05011,0.85619,0.76903,0.81329,0.58528,0.58966,0.47614,0.11244,0.000628,0.000628,0.000628
144,65597.7,0.26125,0.30764,0.04917,0.85823,0.76784,0.81345,0.58523,0.58956,0.47635,0.11251,0.000562,0.000562,0.000562
145,66049,0.26062,0.30742,0.04859,0.85756,0.76852,0.81343,0.58492,0.58962,0.47644,0.11264,0.000496,0.000496,0.000496
146,66499.6,0.25531,0.30511,0.04886,0.85795,0.76916,0.81356,0.5848,0.58943,0.47672,0.11283,0.00043,0.00043,0.00043
147,66956.1,0.25078,0.30068,0.04818,0.85898,0.769,0.81351,0.58449,0.58905,0.47711,0.11291,0.000364,0.000364,0.000364
148,67405.1,0.25233,0.30025,0.04706,0.85814,0.77053,0.81392,0.58425,0.589,0.47725,0.11297,0.000298,0.000298,0.000298
149,67856.1,0.25035,0.29757,0.04683,0.85844,0.77025,0.81391,0.58427,0.58881,0.4774,0.11316,0.000232,0.000232,0.000232
150,68303.5,0.24703,0.29524,0.04624,0.85938,0.77001,0.81464,0.58408,0.58875,0.47782,0.11325,0.000166,0.000166,0.000166
