epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,42168,0.70368,0.40324,0.95917,0.85779,0.75607,0.82413,0.61969,0.94135,0.57451,0.98105,0.003532,0.003532,0.003532
100,42592.4,0.70926,0.41004,0.96073,0.8577,0.75598,0.82417,0.62002,0.94137,0.57492,0.98107,0.003466,0.003466,0.003466
101,43017.4,0.70243,0.40614,0.95758,0.8599,0.75479,0.82442,0.62029,0.94127,0.57501,0.981,0.0034,0.0034,0.0034
102,43442.1,0.70077,0.4001,0.95575,0.85763,0.75748,0.82438,0.62053,0.94128,0.5749,0.98088,0.003334,0.003334,0.003334
103,43866.1,0.69496,0.39709,0.95568,0.85735,0.75763,0.82464,0.62078,0.94117,0.57485,0.98082,0.003268,0.003268,0.003268
104,44289.8,0.70687,0.40219,0.95892,0.85852,0.7568,0.82478,0.62093,0.9414,0.57547,0.9811,0.003202,0.003202,0.003202
105,44714,0.69578,0.39482,0.95242,0.85993,0.75594,0.82494,0.62111,0.94144,0.5755,0.9813,0.003136,0.003136,0.003136
106,45138,0.69856,0.39408,0.95458,0.85927,0.75613,0.825,0.62135,0.94156,0.57572,0.98134,0.00307,0.00307,0.00307
107,45561.7,0.69963,0.39291,0.95523,0.85784,0.75726,0.82513,0.62143,0.94143,0.57558,0.98135,0.003004,0.003004,0.003004
108,45986.3,0.68894,0.3901,0.95172,0.85821,0.75703,0.82541,0.62162,0.94155,0.5758,0.98145,0.002938,0.002938,0.002938
109,46411.4,0.69121,0.38712,0.95116,0.85916,0.75648,0.82536,0.62194,0.94157,0.57602,0.98149,0.002872,0.002872,0.002872
110,46836.2,0.68282,0.38527,0.9465,0.86026,0.75641,0.82545,0.62205,0.94155,0.57616,0.98141,0.002806,0.002806,0.002806
